,name,age,year,nation,current_rating,ball_control,dribbling,composure,reaction,crossing,acceleration,stamina,strength,shot_power,sprint_speed,finishing,gk,passing,defending,mentality_penalties
97718,水本 裕貴,33,2020,Japan,64,50,38,60.0,66,47,51,43,70,47,47,32,18+2,53,61,44.0
97719,Conor Michael McAleny,26,2020,England,64,64,64,50.0,66,64,71,43,46,67,75,65,16+2,67,17,65.0
97720,Paris Cowan-Hall,28,2020,England,64,62,64,59.0,55,58,87,72,61,62,85,58,18+2,58,37,59.0
97721,Jonathan Bond,26,2020,England,64,19,11,67.0,61,11,54,38,64,46,42,13,63+2,33,14,17.0
97722,Kwesi Appiah,28,2020,Ghana,64,63,58,66.0,68,55,76,67,71,58,78,64,14+2,53,31,58.0
97723,Ryan Michael Bowman,27,2020,England,64,61,56,58.0,58,31,67,78,81,65,69,62,15+2,58,25,65.0
97724,Aaron Martin,29,2020,England,64,49,34,59.0,56,20,57,69,75,67,46,29,13+2,53,64,46.0
97725,David Eduardo Achucarro Trinidad,28,2020,Argentina,64,58,53,58.0,60,56,62,66,74,46,63,35,18+2,58,64,50.0
97726,Petar Slišković,28,2020,Croatia,64,57,55,60.0,54,39,64,63,89,67,73,64,16+2,52,28,63.0
97727,Joakim Våge Nilsen,28,2020,Norway,64,63,63,64.0,63,66,67,74,68,70,65,55,16+2,64,63,45.0
97728,Christopher Gaël Missilou,26,2020,Congo,64,59,58,54.0,60,42,69,71,71,44,66,33,15+2,60,60,47.0
97729,Fredrik Oldrup Jensen,26,2020,Norway,64,64,56,66.0,64,46,59,73,67,60,52,48,18+2,66,62,41.0
97730,David McMillan,30,2020,Republic of Ireland,64,63,57,56.0,62,40,69,63,68,62,67,67,16+2,58,19,68.0
97731,Keith Ward,28,2020,Republic of Ireland,64,63,62,56.0,56,59,74,68,45,66,71,58,15+2,64,54,61.0
97732,Bruno Leonardo Vicente,30,2020,Brazil,64,64,56,66.0,68,58,69,80,59,66,65,39,17+2,66,58,46.0
97733,Vincent Kevin Créhin,30,2020,France,64,64,65,55.0,65,54,71,61,69,65,66,65,16+2,64,33,66.0
97734,Enes Sağlık,27,2020,Belgium,64,67,67,70.0,62,71,59,51,59,68,57,57,18+2,65,57,65.0
97735,Akeem Latifu,29,2020,Nigeria,64,63,62,52.0,59,66,73,71,70,64,72,47,16+2,60,64,43.0
97736,Milan Jurdík,27,2020,Czech Republic,64,55,60,64.0,65,40,71,36,65,64,70,65,16+2,55,29,52.0
97737,Stefan Steve Payne,27,2020,England,64,61,61,58.0,59,50,78,71,78,64,76,64,18+2,54,16,57.0
97738,Medhy Guezoui,30,2020,France,64,63,57,56.0,60,47,47,61,84,65,53,67,17+2,53,14,56.0
97739,Matthias Maak,27,2020,Austria,64,51,54,57.0,57,39,34,45,90,33,57,26,17+2,53,66,20.0
97740,Ryan Allsop,27,2020,England,64,26,12,34.0,65,15,42,40,58,49,42,11,63+2,35,11,27.0
97741,Milton Raphael Guimarães Pires,28,2020,Brazil,64,18,15,30.0,56,13,26,30,52,49,24,16,63+2,11,20,20.0
97742,Antoni Charles Sarcevic,27,2020,England,64,66,64,63.0,59,59,68,74,65,63,68,60,18+2,65,56,65.0
97743,Samuel Colin Walker,27,2020,England,64,25,19,46.0,56,17,40,39,69,44,45,11,63+2,25,14,12.0
97744,이재권 李在权,31,2020,Korea Republic,64,65,62,65.0,61,55,78,77,72,56,73,56,17+2,62,56,43.0
97745,Rodney Troy McDonald,27,2020,England,64,56,52,63.0,63,41,65,62,78,45,49,20,17+2,54,64,34.0
97746,Tobias Rühle,28,2020,Germany,64,69,69,48.0,63,62,74,76,69,66,76,54,17+2,63,24,56.0
97747,Janick Kamber,27,2020,Switzerland,64,61,60,64.0,53,61,75,91,66,65,78,44,15+2,61,61,44.0
97748,Mathias Aaris Kragh Nielsen,28,2020,Denmark,64,61,52,64.0,60,53,51,64,76,54,51,39,15+2,63,63,35.0
97749,Brian Gartland,32,2020,Republic of Ireland,64,42,24,53.0,58,37,33,59,86,50,31,23,17+2,54,62,27.0
97750,Franck Julienne,28,2020,France,64,62,66,51.0,62,57,74,59,47,64,76,63,17+2,60,26,62.0
97751,Nicky Ajose,27,2020,England,64,60,61,62.0,61,56,74,66,60,69,73,62,18+2,46,20,64.0
97752,Nathanael Anthony Ralph,26,2020,England,64,62,62,52.0,62,60,75,72,45,50,79,41,19+2,58,60,45.0
97753,Zeli Ismail,25,2020,England,64,64,66,57.0,53,55,87,75,60,63,90,59,17+2,57,34,60.0
97754,Galin Ivanov,31,2020,Bulgaria,64,60,64,51.0,58,58,71,63,58,67,65,64,15+2,66,32,65.0
97755,Servando Carrasco,30,2020,United States,64,64,59,64.0,62,64,42,65,71,65,46,52,17+2,64,65,58.0
97756,김수범 金秀范,28,2020,Korea Republic,64,62,65,60.0,60,59,77,73,60,55,78,44,17+2,63,64,57.0
97757,Daniel Offenbacher,27,2020,Austria,64,67,65,62.0,65,61,77,78,65,70,74,54,16+2,63,62,64.0
97758,Alexander Rodman,32,2020,England,64,63,65,58.0,59,59,74,66,63,61,68,60,18+2,60,19,50.0
97759,Josh Ruffels,25,2020,England,64,67,64,67.0,66,61,52,65,67,60,53,49,17+2,70,65,33.0
97760,Jimmy Maurer,30,2020,United States,64,25,13,44.0,44,15,32,34,65,48,36,11,63+1,27,13,14.0
97761,David Katz Boysen,28,2020,Denmark,64,65,64,59.0,65,59,80,72,65,63,77,59,19+2,60,26,56.0
97762,Urko Vera Mateos,32,2020,Spain,64,54,51,54.0,70,41,47,67,90,73,33,63,18+2,53,44,43.0
97763,Joseph Mendes,28,2020,Guinea Bissau,64,58,60,56.0,53,51,68,48,77,66,78,63,13+2,56,45,63.0
97764,Richard Sánchez Alcaraz,25,2020,Mexico,64,26,13,43.0,52,16,43,29,58,47,43,20,63+2,32,9,30.0
97765,Joonas Tamm,27,2020,Estonia,64,52,51,55.0,60,31,53,62,91,56,64,50,16+2,48,58,55.0
97766,Bernie Ibini-Isei,26,2020,Australia,64,63,70,59.0,62,63,79,33,73,70,79,59,19+2,65,42,58.0
97767,Anthony Kelvin Stewart,26,2020,England,64,48,38,56.0,60,42,57,69,74,26,56,20,16+2,50,64,33.0
97768,유상훈 柳相勋,30,2020,Korea Republic,64,13,12,59.0,61,14,42,32,60,47,34,19,63+1,35,13,25.0
97769,Oliver Turton,26,2020,England,64,58,54,44.0,53,60,71,88,69,45,70,48,16+2,65,62,46.0
97770,Daniel Potts,25,2020,England,64,60,63,55.0,59,61,67,70,69,40,67,47,15+2,63,66,27.0
97771,Luke Michael Norris,26,2020,England,64,58,57,57.0,55,44,62,67,70,74,60,65,14+2,56,14,67.0
97772,Daniel Antony Rose,25,2020,England,64,60,62,56.0,59,47,77,68,62,62,80,63,18+2,57,29,59.0
97773,Joel Joseph Chianese,29,2020,Australia,64,64,62,59.0,63,54,74,67,63,60,77,59,18+2,62,34,55.0
97774,Aaron Jordan Pierre,26,2020,Grenada,64,44,35,51.0,58,29,69,68,86,45,65,19,15+2,46,64,31.0
97775,Gianluca Korte,28,2020,Germany,64,63,65,64.0,61,59,81,66,45,69,68,62,17+2,61,25,58.0
97776,Raffael Korte,28,2020,Germany,64,64,66,59.0,54,60,83,53,44,64,81,50,15+2,65,40,54.0
97777,Cody Cropper,26,2020,United States,64,23,11,42.0,58,11,34,28,57,46,37,13,63+2,15,13,21.0
97778,Mikel Iribas Aliende,31,2020,Spain,64,59,55,61.0,70,68,71,74,74,68,72,47,18+2,61,63,46.0
97779,Ioannis Gelios,27,2020,Greece,64,16,12,33.0,56,12,49,36,61,41,42,8,63+2,28,15,17.0
97780,Hilal Ben Moussa,27,2020,Netherlands,64,68,65,68.0,66,60,70,70,65,48,69,55,18+2,67,53,62.0
97781,Clément Diop Degoud,25,2020,Senegal,64,23,11,43.0,55,6,34,27,61,47,29,7,63+2,23,10,22.0
97782,Toni Brito Silva Sá,25,2020,Guinea Bissau,64,64,66,46.0,66,59,79,64,61,68,81,59,19+2,58,23,51.0
97783,Wilmar Jordán Gil,28,2020,Colombia,64,65,63,60.0,61,48,55,73,77,72,45,66,17+2,56,22,56.0
97784,Rhys Gordon Bennett,27,2020,England,64,54,51,58.0,58,53,71,78,77,45,74,38,15+2,58,65,34.0
97785,Julian-Maurice Derstroff,27,2020,Germany,64,67,67,56.0,60,53,77,61,60,61,80,61,17+2,58,18,61.0
97786,Jesús Alonso Escoboza Lugo,26,2020,Mexico,64,69,70,60.0,63,68,75,70,67,70,76,62,15+2,66,45,63.0
97787,유지훈 Ji Hoon Yu,31,2020,Korea Republic,64,43,45,58.0,63,56,72,82,41,33,80,35,13+2,59,68,37.0
97788,Mehdi Jeannin,28,2020,Algeria,64,22,10,52.0,55,15,49,27,71,49,50,9,63+2,31,19,15.0
97789,Stephan Auer,28,2020,Austria,64,63,61,52.0,59,61,67,77,70,58,73,49,16+2,60,65,43.0
97790,Jack David Grimmer,25,2020,Scotland,64,60,60,55.0,58,59,78,79,63,60,76,47,16+2,59,63,45.0
97791,Scott Stewart Fraser,24,2020,Scotland,64,67,65,63.0,65,56,68,76,48,53,67,46,19+2,65,56,56.0
97792,Rachid Ahmed Bouhenna,28,2020,Algeria,64,45,30,45.0,58,42,58,58,75,33,59,19,16+2,53,67,37.0
97793,Donovan Léon,26,2020,France,64,19,14,46.0,58,20,48,20,79,45,46,19,63+2,34,10,22.0
97794,Adam David Henley,25,2020,Wales,64,58,61,55.0,61,55,78,68,63,37,73,43,17+2,61,64,47.0
97795,Onur Bulut,25,2020,Germany,64,54,63,54.0,67,61,74,85,58,62,74,51,18+2,64,58,53.0
97796,Pol Freixanet Viejo,27,2020,Spain,64,29,17,43.0,62,35,46,42,66,44,49,13,63+2,26,19,24.0
97797,Sony Thimotée Dieng,27,2020,France,64,64,62,61.0,60,45,62,73,83,63,66,43,16+2,65,64,50.0
97798,Thomas Edward Hopper,25,2020,England,64,63,58,62.0,63,44,60,66,75,64,67,65,15+2,56,23,63.0
97799,Saša Balić,29,2020,Montenegro,64,58,54,55.0,59,55,70,72,76,35,69,38,17+2,58,68,50.0
97800,Gearóid Morrissey,27,2020,Republic of Ireland,64,64,62,62.0,59,54,55,71,75,67,51,55,17+2,64,64,59.0
97801,Terrence Anthony Boyd,28,2020,United States,64,59,52,58.0,57,30,47,45,83,73,47,65,17+2,57,23,56.0
97802,Jean Alexandre Deretti,26,2020,Brazil,64,64,66,42.0,51,57,76,35,31,58,73,56,15+2,65,41,62.0
97803,김원식 金元植,27,2020,Korea Republic,64,47,43,55.0,60,34,70,80,78,52,72,22,17+2,60,64,32.0
97804,James William Bolton,24,2020,England,64,59,59,50.0,62,56,79,73,67,51,81,29,16+2,58,61,36.0
97805,Jordan Stephen Roberts,25,2020,England,64,64,63,64.0,61,60,79,70,66,61,79,61,19+2,62,46,52.0
97806,Jon-Helge Tveita,27,2020,Norway,64,60,61,54.0,63,55,68,75,70,64,69,52,16+2,60,64,40.0
97807,Daniel Mikal Aas Berntsen,26,2020,Norway,64,68,66,56.0,56,61,74,64,56,70,68,63,15+2,64,36,51.0
97808,Ryan Edwards,25,2020,Australia,64,69,66,56.0,54,63,69,87,50,63,64,63,16+2,63,55,58.0
97809,李 忠成,33,2020,Japan,64,64,61,64.0,60,38,74,60,70,66,59,63,17+2,61,31,65.0
97810,Callum Reilly,25,2020,Republic of Ireland,64,60,62,58.0,63,60,65,85,74,70,61,55,17+2,65,67,59.0
97811,Pierce Liam Sweeney,24,2020,Republic of Ireland,64,62,54,54.0,58,58,72,80,74,50,73,38,16+2,56,61,53.0
97812,Dolly Domingos Menga,26,2020,Angola,64,64,69,58.0,61,57,83,55,72,66,83,60,15+2,58,52,55.0
97813,Brennan Peter Dickenson,26,2020,England,64,60,65,61.0,53,66,82,70,72,65,85,62,19+2,56,59,54.0
97814,황순민 金胜敏,28,2020,Korea Republic,64,57,63,54.0,57,52,56,74,58,62,82,60,15+2,67,44,57.0
97815,Wesley Jobello,25,2020,France,64,65,70,52.0,58,58,78,60,58,68,75,65,17+2,61,17,64.0
97816,Martin Harrer,27,2020,Austria,64,68,62,49.0,63,58,72,68,71,65,78,68,16+2,59,38,56.0
97817,한용수 汉永苏,29,2020,Korea Republic,64,60,53,61.0,57,24,34,53,74,32,34,18,16+2,61,66,37.0
97818,Leonard Zuta,26,2020,North Macedonia,64,57,61,60.0,66,64,76,66,62,67,79,45,17+2,59,55,43.0
97819,Kent-Are Antonsen,24,2020,Norway,64,64,63,59.0,63,55,80,83,74,78,82,55,15+2,61,61,40.0
97820,Adama Sarr,28,2020,Senegal,64,63,66,55.0,62,46,79,52,44,62,78,67,17+2,49,14,63.0
97821,Andy Rose,29,2020,Australia,64,65,59,61.0,68,48,59,84,74,71,73,54,16+2,64,57,57.0
97822,Philipp Kühn,26,2020,Germany,64,24,18,31.0,50,12,33,43,80,52,31,15,63+2,23,17,21.0
97823,Wouter Marinus,24,2020,Netherlands,64,62,62,62.0,58,52,69,73,58,59,67,64,17+2,62,35,44.0
97824,Kieron Morris,25,2020,England,64,65,65,60.0,56,57,75,80,66,68,77,57,18+2,57,53,53.0
97825,Dominic Alfred Poleon,25,2020,England,64,60,62,50.0,60,35,85,65,75,63,88,59,16+2,58,27,60.0
97826,Khalid Ahmed Al Ghamdi,31,2020,Saudi Arabia,64,63,62,64.0,60,61,82,65,62,28,82,27,17+2,61,59,34.0
97827,Nathaniel Lawrence Knight-Percival,32,2020,England,64,45,41,56.0,54,26,63,74,77,41,65,26,17+2,52,64,34.0
97828,Oliver Hein,29,2020,Germany,64,67,65,63.0,63,58,71,72,56,62,67,55,16+2,64,61,45.0
97829,Yassen Hamza,28,2020,Saudi Arabia,64,56,51,53.0,54,63,67,77,76,52,71,41,17+2,61,65,41.0
97830,Ľubomír Šatka,23,2020,Slovakia,64,55,42,54.0,53,35,54,58,71,45,55,23,16+2,58,65,36.0
97831,Matthew James Blair,30,2020,England,64,63,63,55.0,63,59,82,86,65,60,87,57,19+2,60,57,56.0
97832,Thomas Robert Anderson,25,2020,England,64,34,32,60.0,59,25,35,69,84,43,34,33,18+2,45,58,32.0
97833,Dan Butler,24,2020,England,64,56,51,56.0,62,62,73,85,67,45,73,37,17+2,56,60,35.0
97834,Thom Jan Marinus Haye,24,2020,Netherlands,64,72,70,61.0,59,69,56,36,59,66,61,44,16+2,70,55,51.0
97835,Simon Grether,27,2020,Switzerland,64,65,59,60.0,59,65,67,74,64,61,62,44,14+2,61,64,58.0
97836,John Anthony James O'Sullivan,25,2020,Republic of Ireland,64,62,66,65.0,61,56,79,66,66,63,79,35,16+2,68,51,40.0
97837,Mohammed Al Fehaid,29,2020,Saudi Arabia,64,59,58,63.0,57,47,60,90,67,55,65,37,17+2,65,63,36.0
97838,Janoi Donacien,25,2020,Saint Lucia,64,55,52,59.0,60,55,78,67,75,50,78,24,18+2,56,64,46.0
97839,Vedran Janjetović,31,2020,Australia,64,24,16,46.0,66,13,39,34,59,46,44,15,63+1,29,12,22.0
97840,Tim Hölscher,24,2020,Germany,64,64,62,52.0,60,59,75,67,56,65,69,59,17+2,62,46,60.0
97841,Orhan Ademi,27,2020,Switzerland,64,63,58,55.0,62,40,62,63,85,68,65,61,17+2,57,20,55.0
97842,Assaf Ahmed Al Qarni,35,2020,Saudi Arabia,64,20,15,47.0,63,16,42,26,43,44,48,12,63+1,21,13,18.0
97843,Frans Dhia Jirjis Putros,25,2020,Iraq,64,63,54,59.0,69,57,72,69,68,69,67,58,17+2,59,62,36.0
97844,Stefan Rakowitz,29,2020,Austria,64,68,72,63.0,61,52,86,55,43,71,81,55,17+2,60,31,57.0
97845,Srđan Spiridonović,25,2020,Austria,64,70,72,46.0,54,58,92,39,45,65,91,59,17+2,55,31,68.0
97846,Marko Maletić,25,2020,Bosnia and Herzegovina,64,66,64,60.0,57,40,35,63,87,70,39,60,16+2,60,18,72.0
97847,Dennis Iapichino,28,2020,Switzerland,64,64,52,47.0,67,58,69,62,53,55,77,47,18+2,60,65,44.0
97848,Jordan Roy Tillson,26,2020,England,64,62,58,53.0,60,45,61,81,71,52,56,40,15+2,63,62,45.0
97849,Ryan McLaughlin,24,2020,Northern Ireland,64,65,67,53.0,59,64,81,73,64,54,76,51,16+2,62,64,59.0
97850,Anthony Belmonte,23,2020,France,64,72,70,60.0,58,64,45,69,67,58,65,33,17+2,68,48,44.0
97851,Simon Piesinger,27,2020,Austria,64,61,55,64.0,65,37,36,63,87,59,40,51,16+2,64,64,45.0
97852,Faisal Darwish Faraj,27,2020,Saudi Arabia,64,65,64,59.0,59,61,80,80,73,60,78,56,18+2,60,60,47.0
97853,Manuel Kuttin,25,2020,Austria,64,28,20,33.0,61,12,34,14,70,52,35,11,63+2,32,16,16.0
97854,Wladimiro Falcone,24,2020,Italy,64,20,13,44.0,47,17,26,28,62,49,28,19,63+2,25,11,29.0
97855,Nasser Chamed,25,2020,Comoros,64,61,64,59.0,60,58,81,55,68,70,77,54,14+2,63,26,51.0
97856,Brian Rowe,30,2020,United States,64,16,15,44.0,55,13,53,37,61,47,47,17,63+2,35,18,23.0
97857,Sultan Ali Al Sawadi,26,2020,Saudi Arabia,64,65,66,57.0,56,61,90,55,61,55,81,52,15+2,58,23,54.0
97858,Ali Ahmed Al Zaqan,28,2020,Saudi Arabia,64,65,67,58.0,56,55,84,59,67,64,81,66,17+2,58,11,63.0
97859,Jörgen Joakim Nilsson,25,2020,Sweden,64,58,39,55.0,60,40,58,64,73,45,55,30,16+2,59,63,28.0
97860,Abdullah Saud Al Mutairi,33,2020,Saudi Arabia,64,65,66,50.0,61,55,63,72,67,62,54,58,17+2,68,21,65.0
97861,Giuseppe Torromino,31,2020,Italy,64,67,70,62.0,62,58,83,73,62,70,72,58,16+2,59,20,63.0
97862,Abdulrahman Al Barakah Eda,28,2020,Saudi Arabia,64,62,60,46.0,59,41,61,76,71,51,55,41,17+2,65,64,49.0
97863,Alejandro Vallejo Mínguez,27,2020,Spain,64,69,51,55.0,63,54,37,30,79,47,41,39,15+2,66,64,48.0
97864,황석호 黄锡浩,30,2020,Korea Republic,64,56,41,50.0,54,22,35,72,82,43,45,18,17+2,56,65,37.0
97865,Nicolai Brock-Madsen,26,2020,Denmark,64,62,58,48.0,57,33,59,76,83,64,64,64,13+2,58,40,56.0
97866,Marcus Fraser,25,2020,Scotland,64,49,50,62.0,49,49,70,70,77,27,72,23,13+2,55,68,35.0
97867,Marcin Cebula,23,2020,Poland,64,65,63,56.0,58,59,68,70,56,63,83,55,14+2,66,59,39.0
97868,Cristian Marcelo Álvarez,26,2020,Argentina,64,66,64,56.0,59,57,68,65,55,65,74,52,16+2,66,54,59.0
97869,Joel Untersee,25,2020,Switzerland,64,65,64,59.0,61,61,69,69,57,55,69,48,10+2,62,60,57.0
97870,Mark O'Hara,23,2020,Scotland,64,65,62,68.0,64,58,70,83,75,59,72,58,17+2,66,64,37.0
97871,Dominik Starkl,25,2020,Austria,64,67,66,48.0,62,65,82,60,68,65,73,65,16+2,58,38,59.0
97872,Paul McGinn,28,2020,Scotland,64,62,62,55.0,57,60,78,82,69,58,77,48,11+2,62,59,43.0
97873,Louis Ferenc Puskas Fenton,26,2020,New Zealand,64,63,64,58.0,65,63,75,73,68,57,76,52,16+2,64,58,45.0
97874,Toni Lindenhahn,28,2020,Germany,64,65,67,59.0,66,61,74,91,64,72,76,55,19+2,64,65,42.0
97875,Nils Quaschner,25,2020,Germany,64,63,62,58.0,58,63,79,64,74,71,81,61,17+2,64,27,59.0
97876,Daniel Dziwniel,26,2020,Poland,64,63,65,61.0,56,64,72,69,67,56,71,36,16+2,63,65,56.0
97877,Markus Schwabl,28,2020,Germany,64,61,55,55.0,58,56,71,90,66,49,71,35,15+2,63,60,48.0
97878,Seán Hoare,25,2020,Republic of Ireland,64,58,57,51.0,59,52,53,61,71,56,54,24,16+2,58,64,48.0
97879,Nico Neidhart,24,2020,Germany,64,58,47,49.0,64,65,72,77,45,42,76,42,18+2,59,61,39.0
97880,Kearyn Baccus,27,2020,Australia,64,63,59,63.0,59,46,67,58,69,40,70,45,18+2,67,64,50.0
97881,Mikael Norø Ingebrigtsen,22,2020,Norway,64,64,65,56.0,55,54,85,68,44,65,79,63,17+2,57,43,63.0
97882,Casper Højer Nielsen,24,2020,Denmark,64,63,62,57.0,61,64,75,72,71,75,77,56,17+2,58,62,50.0
97883,정동호 丁东浩,29,2020,Korea Republic,64,60,62,50.0,65,60,77,55,61,32,73,21,17+2,54,61,40.0
97884,Hendrik Hansen,24,2020,Germany,64,38,33,47.0,55,26,39,61,90,43,53,21,14+2,52,66,40.0
97885,Pascal Wiberg Gregor,25,2020,Denmark,64,61,51,61.0,53,36,61,65,69,48,66,29,16+2,61,64,28.0
97886,Wesley James Burns,24,2020,Wales,64,62,64,51.0,58,61,92,70,61,62,92,62,15+2,56,39,63.0
97887,Aaron Robert Calver,23,2020,Australia,64,53,49,60.0,52,58,57,64,78,33,55,23,14+2,59,61,45.0
97888,Víctor Manuel Milke Almagro,24,2020,Mexico,64,54,59,51.0,48,57,55,65,73,61,38,41,16+2,58,63,50.0
97889,Daniel Bohl,25,2020,Germany,64,58,59,67.0,60,48,66,91,60,63,63,45,15+2,63,60,54.0
97890,Marian Sarr,24,2020,Germany,64,59,58,56.0,52,48,66,55,74,45,63,45,14+2,63,63,57.0
97891,Jamal Thiaré,26,2020,Senegal,64,63,65,58.0,64,52,75,65,60,62,80,60,15+2,58,20,59.0
97892,Armand Erwan Dsihounou Gnanduillet,27,2020,Côte d'Ivoire,64,57,59,49.0,54,40,64,63,90,75,69,60,15+2,48,31,54.0
97893,Brede Mathias Moe,27,2020,Norway,64,55,43,53.0,55,29,66,70,75,63,72,34,14+2,53,62,38.0
97894,阿部 拓馬,31,2020,Japan,64,66,66,60.0,63,61,53,69,67,63,52,67,19+2,64,42,58.0
97895,Sebastian Patzler,28,2020,Germany,64,24,21,25.0,60,9,30,38,77,43,41,15,63+2,29,13,28.0
97896,Brad Stuver,28,2020,United States,64,18,16,24.0,54,13,49,32,75,47,44,17,63+1,24,17,25.0
97897,Paulo Retre,26,2020,Australia,64,64,65,63.0,58,62,61,78,66,48,64,49,15+2,62,61,59.0
97898,Brayan Andrés Perea Vargas,26,2020,Colombia,64,66,64,63.0,57,56,65,52,70,62,67,61,14+2,63,32,62.0
97899,Kwame Yeboah,25,2020,Australia,64,63,67,49.0,56,57,83,68,64,64,83,64,19+2,55,22,60.0
97900,Ihor Berezovskyi,28,2020,Ukraine,64,20,12,22.0,62,19,25,35,67,44,29,13,63+2,33,14,33.0
97901,Jevani Jason Brown,24,2020,Jamaica,64,62,65,65.0,53,49,75,72,64,54,77,60,14+2,64,44,46.0
97902,Darijan Bojanić,24,2020,Sweden,64,67,65,63.0,54,62,61,56,60,71,51,52,15+2,69,52,54.0
97903,Alec Kann,28,2020,United States,64,20,12,46.0,62,13,42,42,75,47,44,12,63+2,27,13,21.0
97904,Cristián Manuel Rojas Sanhueza,33,2020,Chile,64,52,47,55.0,46,40,60,74,66,58,55,24,17+2,59,61,41.0
97905,Rodolfo Antonio González Aránguiz,30,2020,Chile,64,58,54,62.0,58,59,55,71,77,41,65,33,17+2,59,61,41.0
97906,Elacio José Córdoba Mosquera,25,2020,Colombia,64,61,59,60.0,53,62,88,78,68,43,85,22,14+2,58,62,31.0
97907,César Augusto Hinestroza Lozano,29,2020,Colombia,64,66,62,44.0,56,64,77,78,80,75,69,55,17+2,64,66,62.0
97908,José Ramiro Sánchez Carvajal,35,2020,Colombia,64,20,14,40.0,64,15,45,34,60,44,37,13,63+1,26,14,22.0
97909,Janeiler Rivas Palacios,31,2020,Colombia,64,52,26,54.0,60,39,49,55,92,36,52,23,16+2,48,59,38.0
97910,Luis Hernando Mena Sepúlveda,25,2020,Colombia,64,59,57,44.0,57,56,75,85,46,59,89,43,16+2,50,63,45.0
97911,Ariel Elías Martínez Arce,25,2020,Chile,64,66,71,57.0,57,61,68,72,71,70,61,58,16+2,71,36,53.0
97912,Dairon Estibens Asprilla Rivas,27,2020,Colombia,64,67,67,60.0,60,58,71,70,67,70,70,59,16+2,59,34,63.0
97913,Rodrigo Andrés Ureña Reyes,26,2020,Chile,64,69,57,68.0,65,34,62,73,69,59,59,51,16+2,68,65,37.0
97914,Yuber Alberto Asprilla Viera,26,2020,Colombia,64,60,66,67.0,57,58,91,80,53,64,91,53,18+2,56,27,64.0
97915,Patrick Schorr,24,2020,Germany,64,57,58,58.0,61,61,72,74,68,39,70,33,18+2,63,61,43.0
97916,Joe Wright,24,2020,Wales,64,52,58,66.0,52,29,46,64,74,44,43,27,13+2,50,65,30.0
97917,Fabián Andrés Saavedra Muñóz,27,2020,Chile,64,64,68,52.0,50,62,81,75,59,62,75,61,14+2,59,12,64.0
97918,Felipe Andrés Reynero Galarce,30,2020,Chile,64,64,68,62.0,58,69,77,68,69,51,80,57,15+2,60,27,53.0
97919,Ezequiel Gastón Mastrolía,28,2020,Argentina,64,16,21,42.0,53,12,48,43,56,46,46,19,63+2,25,13,25.0
97920,François Marquet,24,2020,Belgium,64,65,61,62.0,58,65,65,68,66,73,50,37,16+2,65,60,52.0
97921,Pablo Mauricio Rosales,27,2020,Argentina,64,62,58,61.0,63,62,60,75,61,43,67,31,18+2,61,65,41.0
97922,Fabian Holthaus,24,2020,Germany,64,64,64,53.0,59,64,70,82,71,67,78,38,16+2,65,62,39.0
97923,Gaëtan Karlen,26,2020,Switzerland,64,59,54,63.0,67,32,69,47,71,61,72,65,19+2,52,35,65.0
97924,Jonathan Beaulieu,26,2020,France,64,66,60,48.0,61,55,58,70,56,56,57,41,16+2,65,67,40.0
97925,Matteo Mancosu,34,2020,Italy,64,61,59,58.0,59,51,70,50,66,69,68,65,16+2,55,20,66.0
97926,Francisco Leoncio Portillo Maidana,31,2020,Paraguay,64,67,58,45.0,56,54,34,89,76,42,50,31,13+2,72,59,40.0
97927,Fernando Coniglio,27,2020,Argentina,64,64,60,59.0,60,38,46,57,82,63,54,67,17+2,59,28,50.0
97928,Miguel Van Damme,25,2020,Belgium,64,27,20,25.0,63,16,49,38,57,46,49,16,63+2,32,21,26.0
97929,Harry Cornick,24,2020,England,64,62,66,53.0,60,59,86,72,65,58,88,62,15+2,58,31,58.0
97930,Peter Tschernegg,26,2020,Austria,64,57,54,60.0,63,51,52,93,75,48,51,32,15+2,63,61,36.0
97931,Saliou Sané,26,2020,Germany,64,63,61,63.0,61,30,70,53,81,68,75,63,15+2,50,28,61.0
97932,Oswal Andrés Álvarez Salazar,24,2020,Colombia,64,70,68,54.0,60,39,83,32,79,58,80,62,15+2,63,15,48.0
97933,Daniele Gabriele,24,2020,Germany,64,70,68,52.0,63,55,75,69,58,58,75,54,17+2,60,22,65.0
97934,Liam Shephard,24,2020,Wales,64,60,61,60.0,57,62,76,80,63,52,74,47,14+2,57,62,45.0
97935,Jonathan Mitchell,24,2020,England,64,40,18,59.0,65,15,64,30,67,47,40,12,63+2,45,15,29.0
97936,Gedion Zelalem,22,2020,United States,64,70,64,65.0,59,51,61,55,58,51,50,49,17+2,73,48,56.0
97937,Ignacio Jáuregui,23,2020,Argentina,64,65,60,65.0,63,54,72,75,50,72,75,54,17+2,66,65,54.0
97938,王上源,26,2020,China PR,64,65,67,65.0,65,55,68,88,80,73,73,52,16+2,59,59,65.0
97939,Conor James Grant,24,2020,England,64,64,63,61.0,56,68,63,69,65,68,57,58,15+2,66,61,34.0
97940,Christopher Michael Long,24,2020,England,64,63,62,58.0,65,45,75,60,67,64,74,61,16+2,56,25,55.0
97941,Jeroen Houwen,23,2020,Netherlands,64,20,11,47.0,58,12,44,25,63,47,44,19,63+2,25,12,22.0
